mes-anio;Sum_uxt_motivos_1;Sum_uxt_motivos_2;Sum_uxt_motivos_3;Sum_uxt_motivos_4;#uxt_motivos_1;#uxt_motivos_2;#uxt_motivos_3;#uxt_motivos_4
2013-01-01;0.0;7474.0;1421.0;2681.0;0;9;9;4
2013-02-01;0.0;3319.0;531.0;1840.0;0;12;1;4
2013-03-01;0.0;2991.0;2152.0;2110.0;0;10;4;5
2013-04-01;0.0;22.0;5978.0;3379.0;0;1;7;5
2013-05-01;0.0;1009.0;4332.0;8231.0;0;2;9;9
2013-06-01;0.0;1859.0;9284.0;317.0;0;4;9;3
2013-07-01;0.0;90.0;10175.0;2377.0;0;2;13;8
2013-08-01;0.0;215.0;9063.0;8265.0;0;2;12;11
2013-09-01;0.0;2741.0;6594.0;1154.0;0;3;13;3
2013-10-01;0.0;1239.0;12510.0;306.0;0;11;9;1
2013-11-01;0.0;3196.0;9221.0;1385.0;0;3;10;5
2013-12-01;0.0;988.0;4856.0;7163.0;0;2;6;5
2014-01-01;0.0;2138.0;1703.0;1048.0;0;3;5;9
2014-02-01;0.0;1330.0;4644.0;0.0;0;5;7;0
2014-03-01;0.0;219.0;11073.0;173.0;0;1;16;2
2014-04-01;0.0;18.0;12160.0;0.0;0;2;11;0
2014-05-01;0.0;1012.0;22444.0;0.0;0;2;9;0
2014-06-01;0.0;46.0;4857.0;3368.0;0;1;5;4
2014-07-01;0.0;1520.0;3409.0;8161.0;0;4;10;3
2014-08-01;0.0;878.0;17678.0;951.0;0;3;31;5
2014-09-01;0.0;0.0;0.0;0.0;0;0;0;0
2014-10-01;0.0;3325.0;8143.0;4793.0;0;6;11;7
2014-11-01;0.0;2035.0;19960.0;24941.0;0;5;18;7
2014-12-01;0.0;844.0;5052.0;1558.0;0;3;7;7
2015-01-01;0.0;2348.0;329.0;30267.0;0;3;1;9
2015-02-01;0.0;1397.0;5227.0;29570.0;0;4;7;6
2015-03-01;0.0;35015.0;5066.0;16772.0;0;9;7;7
2015-04-01;0.0;7154.0;29205.0;1248.0;0;16;20;4
2015-05-01;0.0;3628.0;13567.0;1446.0;0;13;20;6
2015-06-01;0.0;2252.0;7849.0;14228.0;0;4;15;4
2015-07-01;181.0;2362.0;28874.0;725.0;1;6;17;5
2015-08-01;0.0;580.0;8929.0;982.0;0;1;8;6
2015-09-01;0.0;12086.0;30296.0;955.0;0;4;15;2
2015-10-01;1801.0;8427.0;16349.0;6197.0;1;7;13;5
2015-11-01;0.0;3197.0;26302.0;2671.0;0;3;21;6
2015-12-01;0.0;18075.0;16356.0;248.0;0;8;14;2
2016-01-01;0.0;4043.0;4642.0;5303.0;0;6;11;12
2016-02-01;0.0;2564.0;14118.0;22038.0;0;3;10;12
2016-03-01;0.0;2017.0;28118.0;1694.0;0;6;23;3
2016-04-01;0.0;1360.0;24816.0;2635.0;0;9;19;7
2016-05-01;0.0;1549.0;29345.0;627.0;0;5;24;3
2016-06-01;0.0;4496.0;10861.0;361.0;0;6;13;4
2016-07-01;0.0;4389.0;14853.0;6394.0;0;14;19;4
2016-08-01;0.0;21532.0;29241.0;1271.0;0;25;20;2
2016-09-01;0.0;8542.0;32231.0;1488.0;0;7;31;9
2016-10-01;0.0;12084.0;26372.0;431.0;0;13;22;3
2016-11-01;0.0;1921.0;37782.0;4081.0;0;8;19;8
2016-12-01;0.0;19444.0;13596.0;10239.0;0;4;18;12
2017-01-01;0.0;12429.0;3535.0;2473.0;0;17;6;6
2017-02-01;0.0;4151.0;9103.0;2221.0;0;9;7;2
