;Fecha;Sum_uxt_motivos_2;Sum_uxt_motivos_3;Sum_uxt_motivos_4;#uxt_motivos_2;#uxt_motivos_3;#uxt_motivos_4;uxt_mensual;disp_p;disp_f;disp_final
0;2013-01-01;7474.0;1421.0;2681.0;9;9;4;10902576.000000002;0.9991841377670745;0.9997540948120884;0.9996401034030857
1;2013-02-01;3319.0;531.0;1840.0;12;1;4;9847488.000000002;0.999609037350439;0.9998131503181319;0.9997723277245933
2;2013-03-01;2991.0;2152.0;2110.0;10;4;5;10902576.000000002;0.9995282766201309;0.9998064677558771;0.9997508295287278
3;2013-04-01;22.0;5978.0;3379.0;1;7;5;10550880.000000002;0.999431327055184;0.9996797423532444;0.9996300592936324
4;2013-05-01;1009.0;4332.0;8231.0;2;9;9;10902576.000000002;0.9995101157744738;0.9992450408050354;0.9992980557989232
5;2013-06-01;1859.0;9284.0;317.0;4;9;3;10550880.000000002;0.9989438795626526;0.9999699551127489;0.9997647400027296
6;2013-07-01;90.0;10175.0;2377.0;2;13;8;10902576.000000002;0.9990584793905587;0.9997819781306729;0.9996372783826502
7;2013-08-01;215.0;9063.0;8265.0;2;12;11;10902576.000000002;0.9991490084545157;0.9992419222759832;0.9992233395116897
8;2013-09-01;2741.0;6594.0;1154.0;3;13;3;10550880.000000002;0.9991152396766905;0.999890625236947;0.9997355481248958
9;2013-10-01;1239.0;12510.0;306.0;11;9;1;10902576.000000002;0.9987389218841493;0.9999719332385301;0.9997253309676539
10;2013-11-01;3196.0;9221.0;1385.0;3;10;5;10550880.000000002;0.9988231313407033;0.9998687313285717;0.9996596113309981
11;2013-12-01;988.0;4856.0;7163.0;2;6;5;10902576.000000002;0.9994639798887895;0.9993429993058521;0.9993671954224397
12;2014-01-01;2138.0;1703.0;1048.0;3;5;9;10902576.000000002;0.9996476979385422;0.9999038759280375;0.9998526403301385
13;2014-02-01;1330.0;4644.0;0.0;5;7;0;9847488.000000002;0.9993933478263696;1.0;0.9998786695652739
14;2014-03-01;219.0;11073.0;173.0;1;16;2;10902576.000000002;0.9989642814688933;0.9999841321904108;0.9997801620461073
15;2014-04-01;18.0;12160.0;0.0;2;11;0;10550880.000000002;0.9988457834796718;1.0;0.9997691566959344
16;2014-05-01;1012.0;22444.0;0.0;2;9;0;10902576.000000002;0.9978485818397413;1.0;0.9995697163679483
17;2014-06-01;46.0;4857.0;3368.0;1;5;4;10550880.000000002;0.9995352994252612;0.99968078492031;0.9996516878213002
18;2014-07-01;1520.0;3409.0;8161.0;4;10;3;10902576.000000002;0.9995479050088713;0.9992514613060253;0.9993107500465945
19;2014-08-01;878.0;17678.0;951.0;3;31;5;10902576.000000002;0.9982980169090314;0.9999127729079806;0.9995898217081909
20;2014-09-01;0.0;0.0;0.0;0;0;0;10550880.000000002;1.0;1.0;1.0
21;2014-10-01;3325.0;8143.0;4793.0;6;11;7;10902576.000000002;0.9989481384949759;0.9995603791250801;0.9994379309990593
22;2014-11-01;2035.0;19960.0;24941.0;5;18;7;10550880.000000002;0.9979153397631287;0.9976361213472241;0.997691965030405
23;2014-12-01;844.0;5052.0;1558.0;3;7;7;10902576.000000002;0.9994592103737685;0.9998570979922543;0.9997775204685573
24;2015-01-01;2348.0;329.0;30267.0;3;1;9;10902576.000000002;0.9997544616978593;0.9972238670934281;0.9977299860143144
25;2015-02-01;1397.0;5227.0;29570.0;4;7;6;9847488.000000002;0.9993273411452748;0.9969972037538913;0.9974632312321681
26;2015-03-01;35015.0;5066.0;16772.0;9;7;7;10902576.000000002;0.9963237128546502;0.9984616479628301;0.9980340609411942
27;2015-04-01;7154.0;29205.0;1248.0;16;20;4;10550880.000000002;0.9965539367332393;0.9998817160274783;0.9992161601686306
28;2015-05-01;3628.0;13567.0;1446.0;13;20;6;10902576.000000002;0.9984228497925628;0.999867370793838;0.9995784665935831
29;2015-06-01;2252.0;7849.0;14228.0;4;15;4;10550880.000000002;0.9990426390974023;0.998651486890193;0.9987297173316348
30;2015-07-01;2362.0;28874.0;725.0;6;17;5;10902576.000000002;0.9971349890154401;0.9999335019540336;0.999373799366315
31;2015-08-01;580.0;8929.0;982.0;1;8;6;10902576.000000002;0.9991278208012492;0.9999099295432565;0.9997535077948552
